pro_com_t,cap
012054,21020
012055,21025
012056,21030
012057,21020
012058,21050
012059,21030
012060,21035
012061,21010
012062,21030
012063,21030
012064,21020
012065,21010
012066,21030
012067,21054
012068,21010
012069,21030
012070,21013
012071,21020
012072,21026
012073,21045
012074,21036
012075,21040
012076,21010
012077,21010
012078,21050
012079,21055
012080,21040
012081,21030
012082,21020
012083,21056
012084,21027
012085,21040
012086,21037
012087,21014
012088,21038
012089,21050
012090,21015
012091,21040
012092,21016
012093,21020
012095,21020
012096,21046
012097,21030
012098,21050
012099,21030
012100,21030
012101,21020
012102,21030
012103,21010
012104,21020
012105,21040
012106,21020
012107,21040
012108,21057
012109,21040
012110,21030
012113,21050
012114,21010
012115,21030
012116,21020
012117,21050
012118,21017
012119,21047
012120,21018
012121,21048
012122,21058
012123,21019
012124,21040
012125,21020
012126,21020
012127,21049
012128,21028
012129,21010
012130,21040
012131,21039
012132,21020
012133,21100
012134,21040
012136,21040
012137,21040
012138,21029
012139,21059
012140,21010
012141,21038
012142,21061
012143,21062
013003,22031
013004,22032
013005,22070
013006,22040
013007,22040
013009,22040
013010,22070
013011,22010
013012,22060
013013,22033
013015,22030
013021,22010
013022,22070
013023,22070
013024,22020
013025,22028
013026,22020
013028,22070
013029,22040
013030,22010
013032,22034
013034,22070
013035,22060
013036,22071
013037,22030
013040,22060
013041,22063
013042,22035
013043,22070
013044,22010
013045,22070
013046,22060
013047,22010
013048,22060
013052,22030
013053,22070
013055,22070
013058,22030
013059,22070
013062,22010
013063,22020
013064,22072
013065,22012
013068,22070
013071,22010
013074,22010
013075,22100
013077,22010
013083,22010
013084,22060
013085,22010
013087,22020
013089,22013
013090,22014
013092,22010
013095,22036
013097,22030
013098,22020
013099,22020
013100,22070
013101,22060
013102,22073
013106,22010
013107,22010
013110,22070
013111,22010
013113,22011
013114,22070
013118,22044
013119,22010
013120,22020
013121,22045
013123,22030
013126,22025
013128,22070
013129,22030
013130,22010
013131,22070
013133,22074
013134,22030
013135,22070
013136,22040
013137,22070
013138,22075
013139,22030
013143,22066
013144,22026
013145,22017
013147,22046
013152,22010
013153,22040
013154,22070
013155,22010
013157,22030
013159,22076
013160,22010
013161,22020
013163,22060
013165,22077
013169,22070
013170,22030
013178,22010
013183,22010
013184,22020
013185,22010
013186,22020
013187,22020
013188,22037
013189,22018
013192,22030
013193,22030
013195,22030
013197,22070
013199,22027
013201,22069
013202,22070
013203,22010
013204,22010
013206,22020
013207,22010
013211,22020
013212,22070
013216,22010
013217,22030
013218,22010
013222,22038
013223,22020
013226,22010
013227,22078
013228,22029
013229,22039
013232,22070
013233,22010
013234,22010
013236,22020
013238,22070
013239,22013
013242,22070
013245,22079
013246,22020
013248,22010
013249,22015
013250,22021
013251,22041
013252,22016
013253,22014
013254,22028
013255,22070
014001,23010
014002,23010
014003,23014
014004,23031
014005,23011
014006,23010
014007,23010
014008,23030
014009,23032
014010,23010
014011,23010
014012,23021
014013,23020
014014,23030
014015,23012
014016,23010
014017,23016
014018,23022
014019,23023
014020,23030
014021,23010
014022,23010
014023,23010
014024,23013
014025,23010
014026,23014
014027,23015
014028,23020
014029,23010
014030,23010
014031,23010
014032,23020
014033,23033
014034,23034
014035,23024
014036,23020
014037,23041
014038,23030
014039,23016
014040,23030
014041,23010
014043,23020
014044,23020
014045,23017
014046,23025
014047,23010
014048,23010
014049,23020
014050,23020
014051,23020
014052,23026
014053,23010
014054,23020
014055,23010
014056,23010
014057,23027
014058,23020
014059,23030
014060,23035
014061,23100
014062,23020
014063,23018
014064,23010
014065,23036
014066,23037
014067,23020
014068,23030
014069,23019
014070,23020
014071,23038
014072,23030
014073,23030
014074,23010
014075,23020
014076,23030
014077,23029
014078,23030
015002,20081
015005,20080
015007,20020
015009,20020
015010,20010
015011,20090
015012,20010
015014,20060
015015,20080
015016,20060
015019,20010
015022,20080
015024,20082
015026,20010
015027,20021
015032,20091
015035,20080
015036,20090
015038,20010
015040,20060
015041,20020
015042,20080
015044,20040
015046,20010
015050,20080
015051,20061
015055,20080
015058,20010
015059,20062
015060,20060
015061,20081
015062,20022
015070,20063
015071,20070
015072,20023
015074,20090
015076,20020
015077,20092
015078,20080
015081,20093
015082,20060
015085,20011
015086,20032
015087,20010
015093,20094
015096,20012
015097,20090
015098,20095
015099,20020
015101,20070
015103,20083
015105,20024
015106,20060
015108,20064
015110,20056
015112,20088
015113,20010
015114,20065
015115,20084
015116,20020
015118,20025
015122,20050
015125,20085
015130,20013
015131,20020
015134,20010
015136,20060
015139,20060
015140,20077
015142,20066
015144,20010
015146,20121
015150,20081
015151,20086
015154,20014
015155,20020
015157,20026
015158,20082
015159,20073
015164,20010
015165,20080
015166,20037
015167,20090
015168,20015
015169,20067
015170,20016
015171,20068
015172,20060
015173,20090
015175,20096
015176,20010
015177,20060
015178,20060
015179,20010
015181,20027
015182,20017
015183,20020
015184,20087
015185,20053
015188,20088
015189,20089
015191,20078
015192,20097
015194,20010
