pro_com_t,wiki
001229,https://it.wikipedia.org/wiki/Rubiana
001230,https://it.wikipedia.org/wiki/Rueglio
001231,https://it.wikipedia.org/wiki/Salassa
001232,https://it.wikipedia.org/wiki/Salbertrand
001233,https://it.wikipedia.org/wiki/Salerano_Canavese
001234,https://it.wikipedia.org/wiki/Salza_di_Pinerolo
001235,https://it.wikipedia.org/wiki/Samone
001236,https://it.wikipedia.org/wiki/San_Benigno_Canavese
001237,https://it.wikipedia.org/wiki/San_Carlo_Canavese
001238,https://it.wikipedia.org/wiki/San_Colombano_Belmonte
001239,https://it.wikipedia.org/wiki/San_Didero
001240,https://it.wikipedia.org/wiki/San_Francesco_al_Campo
001241,https://it.wikipedia.org/wiki/Sangano
001242,https://it.wikipedia.org/wiki/San_Germano_Chisone
001243,https://it.wikipedia.org/wiki/San_Gillio
001244,https://it.wikipedia.org/wiki/San_Giorgio_Canavese
001245,https://it.wikipedia.org/wiki/San_Giorio_di_Susa
001246,https://it.wikipedia.org/wiki/San_Giusto_Canavese
001247,https://it.wikipedia.org/wiki/San_Martino_Canavese
001248,https://it.wikipedia.org/wiki/San_Maurizio_Canavese
001249,https://it.wikipedia.org/wiki/San_Mauro_Torinese
001250,https://it.wikipedia.org/wiki/San_Pietro_Val_Lemina
001251,https://it.wikipedia.org/wiki/San_Ponso
001252,https://it.wikipedia.org/wiki/San_Raffaele_Cimena
001253,https://it.wikipedia.org/wiki/San_Sebastiano_da_Po
001254,https://it.wikipedia.org/wiki/San_Secondo_di_Pinerolo
001255,https://it.wikipedia.org/wiki/Sant'Ambrogio_di_Torino
001256,https://it.wikipedia.org/wiki/Sant'Antonino_di_Susa
001257,https://it.wikipedia.org/wiki/Santena
001258,https://it.wikipedia.org/wiki/Sauze_di_Cesana
001259,https://it.wikipedia.org/wiki/Sauze_d'Oulx
001260,https://it.wikipedia.org/wiki/Scalenghe
001261,https://it.wikipedia.org/wiki/Scarmagno
001262,https://it.wikipedia.org/wiki/Sciolze
001263,https://it.wikipedia.org/wiki/Sestriere
001264,https://it.wikipedia.org/wiki/Settimo_Rottaro
001265,https://it.wikipedia.org/wiki/Settimo_Torinese
001266,https://it.wikipedia.org/wiki/Settimo_Vittone
001267,https://it.wikipedia.org/wiki/Sparone
001268,https://it.wikipedia.org/wiki/Strambinello
001269,https://it.wikipedia.org/wiki/Strambino
001270,https://it.wikipedia.org/wiki/Susa
001271,https://it.wikipedia.org/wiki/Tavagnasco
001272,https://it.wikipedia.org/wiki/Torino
001273,https://it.wikipedia.org/wiki/Torrazza_Piemonte
001274,https://it.wikipedia.org/wiki/Torre_Canavese
001275,https://it.wikipedia.org/wiki/Torre_Pellice
001276,https://it.wikipedia.org/wiki/Trana
001278,https://it.wikipedia.org/wiki/Traversella
001279,https://it.wikipedia.org/wiki/Traves
001280,https://it.wikipedia.org/wiki/Trofarello
001281,https://it.wikipedia.org/wiki/Usseaux
001282,https://it.wikipedia.org/wiki/Usseglio
001283,https://it.wikipedia.org/wiki/Vaie
001284,https://it.wikipedia.org/wiki/Val_della_Torre
001285,https://it.wikipedia.org/wiki/Valgioie
001286,https://it.wikipedia.org/wiki/Vallo_Torinese
001287,https://it.wikipedia.org/wiki/Valperga
001288,https://it.wikipedia.org/wiki/Valprato_Soana
001289,https://it.wikipedia.org/wiki/Varisella
001290,https://it.wikipedia.org/wiki/Vauda_Canavese
001291,https://it.wikipedia.org/wiki/Venaus
001292,https://it.wikipedia.org/wiki/Venaria_Reale
001293,https://it.wikipedia.org/wiki/Verolengo
001294,https://it.wikipedia.org/wiki/Verrua_Savoia
001295,https://it.wikipedia.org/wiki/Vestignè
001296,https://it.wikipedia.org/wiki/Vialfrè
001298,https://it.wikipedia.org/wiki/Vidracco
001299,https://it.wikipedia.org/wiki/Vigone
001300,https://it.wikipedia.org/wiki/Villafranca_Piemonte
001301,https://it.wikipedia.org/wiki/Villanova_Canavese
001302,https://it.wikipedia.org/wiki/Villarbasse
001303,https://it.wikipedia.org/wiki/Villar_Dora
001304,https://it.wikipedia.org/wiki/Villareggia
001305,https://it.wikipedia.org/wiki/Villar_Focchiardo
001306,https://it.wikipedia.org/wiki/Villar_Pellice
001307,https://it.wikipedia.org/wiki/Villar_Perosa
001308,https://it.wikipedia.org/wiki/Villastellone
001309,https://it.wikipedia.org/wiki/Vinovo
001310,https://it.wikipedia.org/wiki/Virle_Piemonte
001311,https://it.wikipedia.org/wiki/Vische
001312,https://it.wikipedia.org/wiki/Vistrorio
001313,https://it.wikipedia.org/wiki/Viù
001314,https://it.wikipedia.org/wiki/Volpiano
001315,https://it.wikipedia.org/wiki/Volvera
001316,https://it.wikipedia.org/wiki/Mappano
001317,https://it.wikipedia.org/wiki/Val_di_Chy
001318,https://it.wikipedia.org/wiki/Valchiusa
002002,https://it.wikipedia.org/wiki/Alagna_Valsesia
002003,https://it.wikipedia.org/wiki/Albano_Vercellese
002004,https://it.wikipedia.org/wiki/Alice_Castello
002006,https://it.wikipedia.org/wiki/Arborio
002007,https://it.wikipedia.org/wiki/Asigliano_Vercellese
002008,https://it.wikipedia.org/wiki/Balmuccia
002009,https://it.wikipedia.org/wiki/Balocco
002011,https://it.wikipedia.org/wiki/Bianzè
002014,https://it.wikipedia.org/wiki/Boccioleto
002015,https://it.wikipedia.org/wiki/Borgo_d'Ale
002016,https://it.wikipedia.org/wiki/Borgosesia
002017,https://it.wikipedia.org/wiki/Borgo_Vercelli
002021,https://it.wikipedia.org/wiki/Buronzo
002025,https://it.wikipedia.org/wiki/Campertogno
002029,https://it.wikipedia.org/wiki/Carcoforo
002030,https://it.wikipedia.org/wiki/Caresana
002031,https://it.wikipedia.org/wiki/Caresanablot
002032,https://it.wikipedia.org/wiki/Carisio
002033,https://it.wikipedia.org/wiki/Casanova_Elvo
002035,https://it.wikipedia.org/wiki/San_Giacomo_Vercellese
002041,https://it.wikipedia.org/wiki/Cervatto
002042,https://it.wikipedia.org/wiki/Cigliano
002043,https://it.wikipedia.org/wiki/Civiasco
002045,https://it.wikipedia.org/wiki/Collobiano
002047,https://it.wikipedia.org/wiki/Costanzana
002048,https://it.wikipedia.org/wiki/Cravagliana
002049,https://it.wikipedia.org/wiki/Crescentino
002052,https://it.wikipedia.org/wiki/Crova
002054,https://it.wikipedia.org/wiki/Desana
002057,https://it.wikipedia.org/wiki/Fobello
002058,https://it.wikipedia.org/wiki/Fontanetto_Po
002059,https://it.wikipedia.org/wiki/Formigliana
002061,https://it.wikipedia.org/wiki/Gattinara
002062,https://it.wikipedia.org/wiki/Ghislarengo
002065,https://it.wikipedia.org/wiki/Greggio
002066,https://it.wikipedia.org/wiki/Guardabosone
002067,https://it.wikipedia.org/wiki/Lamporo
002068,https://it.wikipedia.org/wiki/Lenta
002070,https://it.wikipedia.org/wiki/Lignana
002071,https://it.wikipedia.org/wiki/Livorno_Ferraris
002072,https://it.wikipedia.org/wiki/Lozzolo
002078,https://it.wikipedia.org/wiki/Mollia
002079,https://it.wikipedia.org/wiki/Moncrivello
002082,https://it.wikipedia.org/wiki/Motta_de'_Conti
002088,https://it.wikipedia.org/wiki/Olcenengo
002089,https://it.wikipedia.org/wiki/Oldenico
002090,https://it.wikipedia.org/wiki/Palazzolo_Vercellese
002091,https://it.wikipedia.org/wiki/Pertengo
002093,https://it.wikipedia.org/wiki/Pezzana
002096,https://it.wikipedia.org/wiki/Pila
002097,https://it.wikipedia.org/wiki/Piode
002102,https://it.wikipedia.org/wiki/Postua
002104,https://it.wikipedia.org/wiki/Prarolo
002107,https://it.wikipedia.org/wiki/Quarona
002108,https://it.wikipedia.org/wiki/Quinto_Vercellese
002110,https://it.wikipedia.org/wiki/Rassa
002113,https://it.wikipedia.org/wiki/Rimella
002115,https://it.wikipedia.org/wiki/Rive
002116,https://it.wikipedia.org/wiki/Roasio
002118,https://it.wikipedia.org/wiki/Ronsecco
002121,https://it.wikipedia.org/wiki/Rossa
002122,https://it.wikipedia.org/wiki/Rovasenda
002126,https://it.wikipedia.org/wiki/Salasco
002127,https://it.wikipedia.org/wiki/Sali_Vercellese
002128,https://it.wikipedia.org/wiki/Saluggia
002131,https://it.wikipedia.org/wiki/San_Germano_Vercellese
002133,https://it.wikipedia.org/wiki/Santhià
002134,https://it.wikipedia.org/wiki/Scopa
002135,https://it.wikipedia.org/wiki/Scopello
002137,https://it.wikipedia.org/wiki/Serravalle_Sesia
002142,https://it.wikipedia.org/wiki/Stroppiana
002147,https://it.wikipedia.org/wiki/Tricerro
002148,https://it.wikipedia.org/wiki/Trino
002150,https://it.wikipedia.org/wiki/Tronzano_Vercellese
002152,https://it.wikipedia.org/wiki/Valduggia
002156,https://it.wikipedia.org/wiki/Varallo
002158,https://it.wikipedia.org/wiki/Vercelli
002163,https://it.wikipedia.org/wiki/Villarboit
002164,https://it.wikipedia.org/wiki/Villata
002166,https://it.wikipedia.org/wiki/Vocca
002170,https://it.wikipedia.org/wiki/Alto_Sermenza
002171,https://it.wikipedia.org/wiki/Cellio_con_Breia
003001,https://it.wikipedia.org/wiki/Agrate_Conturbia
003002,https://it.wikipedia.org/wiki/Ameno
003006,https://it.wikipedia.org/wiki/Armeno
003008,https://it.wikipedia.org/wiki/Arona
003012,https://it.wikipedia.org/wiki/Barengo
003016,https://it.wikipedia.org/wiki/Bellinzago_Novarese
