pro_com_t,pop_res_21
5074,717
5075,1222
5076,2311
5077,1061
5079,186
5080,10197
5081,71
5082,417
5083,445
5084,533
5085,208
5086,570
5087,1962
5088,159
5089,1549
5090,757
5091,366
5092,467
5093,915
5094,375
5095,350
5096,1368
5097,7996
5098,103
5099,675
5100,989
5101,1188
5103,526
5104,103
5105,247
5106,540
5107,157
5108,1722
5109,781
5110,215
5111,282
5112,2413
5113,604
5114,242
5115,855
5116,805
5117,2968
5118,5506
5119,366
5120,557
5121,1568
6001,19493
6002,296
6003,92104
6004,739
6005,727
6007,412
6008,352
6009,6242
6010,257
6011,1301
6012,2025
6013,1607
6014,499
6015,710
6016,158
6017,1780
6018,1931
6019,548
6020,1375
6021,2261
6022,1113
6023,318
6024,426
6025,479
6026,466
6027,727
6028,454
6029,1807
6030,1095
6031,329
6032,417
6033,912
6034,89
6035,487
6036,723
6037,1161
6038,365
6039,33213
6040,972
6041,115
6043,2878
6044,853
6045,85
6046,395
6047,4314
6048,146
6049,1869
6050,453
6051,1444
6052,612
6053,4882
6054,391
6055,257
6056,477
6057,390
6058,299
6059,1307
6060,449
6061,945
6062,323
6063,1002
6065,175
6066,178
6067,589
6068,2162
6069,307
6070,500
6071,430
6072,471
6073,1379
6074,621
6075,1856
6076,1578
6077,1011
6078,822
6079,616
6081,4454
6082,682
6083,294
6084,240
6085,469
6086,300
6087,645
6088,823
6090,83
6091,1297
6092,1271
6093,180
6094,1218
6095,2070
6096,564
6097,934
6098,199
6099,193
6100,146
6101,556
6102,244
6103,243
6104,611
6105,305
6106,512
6107,284
6108,293
6109,1344
6110,416
6111,706
6112,614
6113,1319
6114,27786
6115,1254
6116,401
6117,237
6118,114
6119,408
6120,588
6121,10971
6122,1193
6123,1365
6124,205
6125,510
6126,619
6127,1276
6128,1173
6129,874
6131,329
6132,3427
6133,1354
6134,540
6135,325
6136,998
6137,300
6138,4462
6139,474
6140,1921
6141,1348
6142,1536
6143,609
6144,1376
6145,396
6146,125
6147,1447
6148,221
6149,1472
6150,337
6151,3917
6152,546
6153,1200
6154,4090
6155,520
6156,367
6157,384
6158,1138
6159,513
6160,5878
6161,1199
6162,1866
6163,1549
6164,191
6165,953
6166,357
6167,2381
6168,1902
6169,1533
6170,597
6171,907
6172,846
6173,1321
6174,27092
6175,265
6176,669
6177,18239
6178,956
6179,946
6180,2030
6181,3064
6182,478
6183,878
6184,294
6185,1749
6186,660
6187,1172
6188,1160
6189,130
6190,672
6191,1859
6192,1663
6193,1360
96001,318
96002,2997
96003,1133
96004,43663
96005,891
96006,871
96007,1980
96008,141
96009,308
96010,1122
96012,7299
96013,186
96014,392
96015,789
96016,3529
96018,2811
96019,1673
96020,14149
96021,1424
96023,454
96024,712
96025,539
96026,3677
96027,109
96028,1496
96030,376
96031,524
96032,1939
96033,494
96034,563
96035,3680
96037,1325
96038,585
96039,928
96040,3780
96041,2647
96042,1484
96043,475
96044,178
96046,2039
96047,3767
96048,1136
96049,2308
96050,2017
96053,1438
96054,853
96055,104
96056,1549
96057,560
96058,1884
96059,2603
96063,1338
96064,752
96065,1017
96066,937
96067,271
96068,2423
96069,208
96071,2391
96072,206
96074,905
96075,479
96076,1231
96077,7685
96078,327
96079,191
96080,1390
96081,392
96082,1133
96083,987
96085,2662
96086,506
96087,2019
96088,10489
103001,397
103002,394
103003,1960
103004,241
103005,105
103006,881
103007,454
103008,4848
103009,764
103010,491
103011,1432
103012,189
103013,743
103014,568
103015,1572
103016,881
103017,5098
103018,171
103019,3425
103021,302
103022,588
103023,651
103024,754
103025,4497
103026,1408
103028,17930
103029,1061
103031,445
103032,182
103033,2323
103034,1080
103035,7645
103036,185
103037,107
103038,219
103039,532
103040,392
103041,1364
103042,1458
103043,120
103044,2141
103045,367
103046,1253
103047,380
103048,849
103049,853
103050,14450
103051,3377
103052,1116
103053,1483
103054,2493
103055,768
103056,545
103057,1873
103058,252
103059,365
103060,682
103061,1247
103062,1289
103064,4600
103065,720
103066,401
103067,174
103068,1642
103069,1202
103070,384
103071,1953
103072,30104
103074,1203
103075,6262
103076,266
103077,1742
103078,296
103079,476
7001,209
7002,557
7003,33409
7004,1235
7005,861
7006,301
7007,1399
7008,2091
7009,114
7010,220
7011,943
7012,883
7013,744
7014,550
7015,885
7016,110
7017,706
7018,390
7019,2336
7020,4454
7021,1356
7022,2733
7023,2408
7024,504
7025,217
7026,487
7027,1769
7028,434
7029,450
7030,1718
7031,3395
7032,326
7033,824
7034,1175
7035,656
7036,397
7037,1334
7038,724
7039,109
7040,1987
7041,829
7042,447
7043,1790
7044,2082
7045,2968
7046,163
7047,214
7048,446
7049,1511
7050,174
7051,809
7052,3543
7053,1006
7054,4051
7055,84
7056,177
7057,1032
7058,3407
7059,373
7060,1322
7061,327
7062,189
7063,3201
7064,332
7065,4402
7066,4759
7067,561
7068,195
7069,603
7070,171
7071,2256
7072,1260
7073,2546
7074,1265
12001,401
12002,5217
12003,5407
12004,9900
12005,4765
12006,4604
12007,743
12008,1649
12009,1581
12010,660
12011,2519
12012,5420
12013,8800
12014,3206
12015,4301
12016,2192
12017,3192
12018,824
12019,1738
12020,1218
12021,789
12022,1215
12023,944
12024,1163
12025,3086
12026,83121
12027,2153
12029,7666
12030,4709
12031,2577
12032,14443
12033,6617
12034,17940
12035,4772
12036,2708
12037,1344
12038,3619
12039,5632
12040,21130
12041,646
12042,14317
12043,546
12044,1299
12045,1900
12046,7628
12047,5031
12048,5705
12049,794
12050,10193
12051,3797
12052,1899
12053,4643
12054,1215
12055,2894
12056,784
12057,596
12058,3560
12059,3020
12060,2943
12061,155
12062,3272
12063,1633
12064,3058
12065,1469
12066,135
12067,12301
12068,6681
12069,683
12070,53960
12071,982
12072,9079
12073,4526
12074,2901
12075,10795
12076,3842
12077,2626
12078,4947
12079,8117
12080,2167
12081,1232
12082,1062
12083,10254
12084,5301
12085,5185
12086,5831
12087,8405
12088,3680
12089,5029
12090,11376
12091,1232
12092,14248
12093,1300
12095,1235
12096,16375
12097,3445
12098,8007
12099,307
12100,300
12101,1786
12102,1607
12103,1483
12104,1938
12105,4246
12106,4941
12107,4277
12108,12548
12109,7856
12110,815
12113,2826
12114,2287
12115,898
12116,1282
12117,3021
12118,16035
12119,38476
12120,11160
12121,4004
12122,5350
12123,17467
12124,6056
12125,3597
12126,2526
12127,18635
12128,3999
12129,206
12130,10642
12131,1583
12132,2450
12133,80039
12134,7292
12136,5973
12137,7282
12138,8649
12139,5066
12140,566
12141,1478
12142,2450
12143,2629
13003,6362
13004,4130
13005,2683
13006,1267
13007,4794
13009,1796
13010,7607
13011,681
13012,5084
13013,3567
13015,564
13021,315
13022,2769
13023,4757
13024,1702
13025,287
13026,1153
13028,6446
13029,2184
13030,332
13032,1641
13034,3983
13035,7404
13036,7961
13037,493
13040,1869
13041,39513
13042,5161
13043,5451
13044,1122
13045,2907
13046,4405
13047,3102
13048,6610
13052,1649
13053,5002
13055,3338
13058,1250
13059,905
13062,181
13063,540
13064,9173
13065,6485
13068,2059
13071,554
13074,462
13075,84808
13077,807
13083,676
13084,3467
13085,204
13087,594
13089,1461
13090,3244
13092,223
13095,15954
13097,2600
13098,1169
13099,4722
13100,3177
13101,5027
13102,9797
13106,689
13107,1050
13110,2782
13111,1297
13113,591
13114,5710
13118,9106
13119,880
13120,528
13121,2506
13123,459
13126,2003
13128,3843
13129,5942
13130,162
13131,4209
13133,9901
13134,1919
13135,2721
13136,5287
13137,2551
13138,9679
13139,650
13143,24828
13144,3170
13145,3085
13147,4046
13152,1568
13153,2354
13154,5295
13155,224
13157,2470
13159,8652
13160,946
13161,1177
13163,2863
13165,11663
13169,2369
13170,2669
13178,182
13183,1034
13184,244
13185,831
13186,680
13187,231
