comune_denominazione,comune_codice_istat,latitudine,longitudine
Bianzè,002011,45.308457,8.122527
Boccioleto,002014,45.830189,8.112881
Borgo d'Ale,002015,45.349435,8.053102
Borgosesia,002016,45.716668,8.276857
Borgo Vercelli,002017,45.357862,8.463033
Buronzo,002021,45.480862,8.267128
Campertogno,002025,45.798953,8.032153
Carcoforo,002029,45.90875,8.049537
Caresana,002030,45.221263,8.506924
Caresanablot,002031,45.357613,8.388842
Carisio,002032,45.40936,8.199027
Casanova Elvo,002033,45.400961,8.293529
San Giacomo Vercellese,002035,45.497859,8.326139
Cervatto,002041,45.882966,8.162347
Cigliano,002042,45.308356,8.021025
Civiasco,002043,45.80819,8.294116
Collobiano,002045,45.396683,8.348284
Costanzana,002047,45.238158,8.368134
Cravagliana,002048,45.848385,8.20269
Crescentino,002049,45.190454,8.099929
Crova,002052,45.330659,8.210828
Desana,002054,45.268822,8.356728
Fobello,002057,45.889425,8.15868
Fontanetto Po,002058,45.193464,8.191925
Formigliana,002059,45.429262,8.291928
Gattinara,002061,45.614242,8.371138
Ghislarengo,002062,45.528823,8.386128
Greggio,002065,45.450663,8.38303
Guardabosone,002066,45.701868,8.249322
Lamporo,002067,45.231855,8.101628
Lenta,002068,45.557466,8.384128
Lignana,002070,45.28553,8.346124
Livorno Ferraris,002071,45.281912,8.080548
Lozzolo,002072,45.625643,8.321774
Mollia,002078,45.816669,8.030315
Moncrivello,002079,45.332357,7.995524
Motta de' Conti,002082,45.193343,8.520934
Olcenengo,002088,45.36346,8.30983
Oldenico,002089,45.402755,8.380327
Palazzolo Vercellese,002090,45.186255,8.232632
Pertengo,002091,45.236394,8.417401
Pezzana,002093,45.261959,8.482279
Pila,002096,45.769944,8.08108
Piode,002097,45.770751,8.051076
Postua,002102,45.713604,8.23059
Prarolo,002104,45.282293,8.478118
Quarona,002107,45.757869,8.265721
Quinto Vercellese,002108,45.379661,8.361731
Rassa,002110,45.768473,8.013068
Rimella,002113,45.907567,8.182504
Rive,002115,45.212906,8.417704
Roasio,002116,45.608019,8.288012
Ronsecco,002118,45.253126,8.27781
Rossa,002121,45.833501,8.125529
Rovasenda,002122,45.538765,8.317527
Salasco,002126,45.325559,8.26423
Sali Vercellese,002127,45.309859,8.328931
Saluggia,002128,45.237554,8.011026
San Germano Vercellese,002131,45.350031,8.248779
Santhià,002133,45.366259,8.172627
Scopa,002134,45.792678,8.113367
Scopello,002135,45.772756,8.094058
Serravalle Sesia,002137,45.685568,8.310924
Stroppiana,002142,45.230246,8.453732
Tricerro,002147,45.235757,8.325333
Trino,002148,45.19394,8.296987
Tronzano Vercellese,002150,45.341258,8.173027
Valduggia,002152,45.728369,8.329923
Varallo,002156,45.813731,8.259211
Vercelli,002158,45.555383,8.346284
Villarboit,002163,45.437362,8.337329
Villata,002164,45.387762,8.432632
Vocca,002166,45.832585,8.194602
Alto Sermenza,002170,45.872658,8.038157
Cellio con Breia,002171,45.760606,8.309276
Agrate Conturbia,003001,45.675837,8.559812
Ameno,003002,45.788656,8.441311
Armeno,003006,45.822457,8.439199
Arona,003008,45.759837,8.560408
Barengo,003012,45.57545,8.51395
Bellinzago Novarese,003016,45.568768,8.643233
Biandrate,003018,45.452664,8.462432
Boca,003019,45.678969,8.408726
Bogogno,003021,45.667273,8.534066
Bolzano Novarese,003022,45.762786,8.445175
Borgolavezzaro,003023,45.319663,8.699539
Borgomanero,003024,45.698911,8.462367
Borgo Ticino,003025,45.689268,8.60183
Briga Novarese,003026,45.731871,8.456726
Briona,003027,45.542466,8.47973
Caltignaga,003030,45.516976,8.587782
Cameri,003032,45.499674,8.660451
Carpignano Sesia,003036,45.534635,8.418519
Casalbeltrame,003037,45.438064,8.466532
Casaleggio Novara,003039,45.488765,8.491931
Casalino,003040,45.102415,8.248872
Casalvolone,003041,45.400198,8.463421
Castellazzo Novarese,003042,45.513366,8.486931
Castelletto sopra Ticino,003043,45.712169,8.642977
Cavaglietto,003044,45.602168,8.50213
Cavaglio d'Agogna,003045,45.613168,8.486129
Cavallirio,003047,45.663368,8.394526
Cerano,003049,45.410966,8.780039
Colazza,003051,45.792573,8.500326
Comignago,003052,45.714871,8.564029
Cressa,003055,45.647072,8.50815
Cureggio,003058,45.674869,8.459727
Divignano,003060,45.66237,8.601631
Dormelletto,003062,45.736272,8.566628
Fara Novarese,003065,45.555159,8.458941
Fontaneto d'Agogna,003066,45.643469,8.480828
Galliate,003068,45.478267,8.696903
Garbagna Novarese,003069,45.388764,8.661237
Gargallo,003070,45.72877,8.425325
Ghemme,003073,45.598346,8.420904
Gozzano,003076,45.746457,8.436067
Granozzo con Monticello,003077,45.371139,8.587767
Grignasco,003079,45.684099,8.337853
Invorio,003082,45.756972,8.488326
Landiona,003083,45.496357,8.42308
Lesa,003084,45.829644,8.564857
Maggiora,003088,45.689369,8.422326
Mandello Vitta,003090,45.495665,8.459831
Marano Ticino,003091,45.62987,8.631632
Massino Visconti,003093,45.824206,8.540942
Meina,003095,45.788773,8.538827
Mezzomerico,003097,45.618687,8.605518
Miasino,003098,45.801972,8.429724
Momo,003100,45.574889,8.556139
Nebbiuno,003103,45.803573,8.527126
Nibbiola,003104,45.371483,8.654978
Novara,003106,45.58425,8.545997
Oleggio,003108,45.597231,8.637068
Oleggio Castello,003109,45.748872,8.527127
Orta San Giulio,003112,45.798081,8.406951
Paruzzaro,003114,45.750241,8.517599
Pella,003115,45.801625,8.384779
Pettenasco,003116,45.816693,8.406617
Pisano,003119,45.792298,8.508975
Pogno,003120,45.759039,8.383426
Pombia,003121,45.65083,8.632293
Prato Sesia,003122,45.646849,8.372939
Recetto,003129,45.460364,8.435731
Romagnano Sesia,003130,45.631067,8.388627
Romentino,003131,45.462553,8.720777
San Maurizio d'Opaglio,003133,45.773453,8.390395
San Nazzaro Sesia,003134,45.438273,8.424073
San Pietro Mosezzo,003135,45.455881,8.54419
Sillavengo,003138,45.520665,8.44103
Sizzano,003139,45.577467,8.437329
Soriso,003140,45.741737,8.409703
Sozzago,003141,45.398565,8.720338
Suno,003143,45.633369,8.54283
Terdobbiate,003144,45.376564,8.695238
Tornaco,003146,45.357564,8.715939
Trecate,003149,45.431965,8.735293
Vaprio d'Agogna,003153,45.603513,8.553431
Varallo Pombia,003154,45.665904,8.632693
Vespolate,003158,45.350871,8.668921
Vicolungo,003159,45.477564,8.462731
Vinzaglio,003164,45.322961,8.519135
Gattico-Veruno,003166,45.702046,8.52983
Acceglio,004001,44.474627,6.990918
Aisone,004002,44.313925,7.219626
Alba,004003,44.700724,8.035779
Albaretto della Torre,004004,44.595911,8.064064
Alto,004005,44.108946,8.003074
Argentera,004006,44.374629,6.954209
Arguello,004007,44.58274,8.11084
Bagnasco,004008,44.301333,8.043144
Bagnolo Piemonte,004009,44.760336,7.31392
Baldissero d'Alba,004010,44.759519,7.914349
Barbaresco,004011,44.725447,8.080696
Barge,004012,44.727536,7.321021
Barolo,004013,44.610841,7.942845
Bastia Mondovì,004014,44.441935,7.894438
Battifollo,004015,44.319833,8.010943
Beinette,004016,44.364835,7.646733
Bellino,004017,44.582338,6.990826
Belvedere Langhe,004018,44.493036,7.974639
Bene Vagienna,004019,44.543336,7.828335
Benevello,004020,44.629841,8.104139
Bergolo,004021,44.54784,8.183142
Bernezzo,004022,44.385329,7.436329
Bonvicino,004023,44.503537,8.01754
Borgomale,004024,44.620341,8.13224
Borgo San Dalmazzo,004025,44.328652,7.487456
Bosia,004026,44.602359,8.147252
Bossolasco,004027,44.529338,8.05094
Boves,004028,44.329626,7.551894
Bra,004029,44.697678,7.854271
Briaglia,004030,44.395676,7.876004
Briga Alta,004031,44.14893,7.73051
Brondello,004032,44.600734,7.405925
Brossasco,004033,44.569837,7.361615
Busca,004034,44.518132,7.474328
Camerana,004035,44.424036,8.141444
Canale,004037,44.798544,7.997334
Canosio,004038,44.455827,7.082721
Caprauna,004039,44.118902,7.950257
Caraglio,004040,44.416989,7.43259
Caramagna Piemonte,004041,44.782241,7.739429
Cardè,004042,44.744438,7.477624
Carrù,004043,44.481035,7.874437
Cartignano,004044,44.477654,7.287771
Casalgrasso,004045,44.819641,7.624625
Castagnito,004046,44.755443,8.031335
Casteldelfino,004047,44.589638,7.07032
Castelletto Stura,004049,44.441789,7.638649
Castelletto Uzzone,004050,44.494338,8.186743
Castellinaldo d'Alba,004051,44.774951,8.029984
Castellino Tanaro,004052,44.427835,7.98124
Castelmagno,004053,44.409323,7.207187
Castelnuovo di Ceva,004054,44.353635,8.128945
Castiglione Falletto,004055,44.623699,7.977453
Castiglione Tinella,004056,44.725344,8.190139
Castino,004057,44.617841,8.182441
Cavallerleone,004058,44.740139,7.663928
Cavallermaggiore,004059,44.709839,7.686329
Celle di Macra,004060,44.482936,7.179706
Centallo,004061,44.501533,7.58783
Ceresole Alba,004062,44.799742,7.82243
Cerretto Langhe,004063,44.574839,8.09794
Cervasca,004064,44.380929,7.47123
Cervere,004065,44.635438,7.791932
Ceva,004066,44.387276,8.033048
Cherasco,004067,44.652219,7.858015
Chiusa di Pesio,004068,44.32643,7.675436
Cigliè,004069,44.436535,7.926539
Cissone,004070,44.563139,8.030439
Clavesana,004071,44.481939,7.912079
Corneliano d'Alba,004072,44.735937,7.959851
Cortemilia,004073,44.579471,8.193302
Cossano Belbo,004074,44.668989,8.198579
Costigliole Saluzzo,004075,44.564534,7.485427
Cravanzana,004076,44.57462,8.126185
Crissolo,004077,44.699166,7.157719
Cuneo,004078,44.45807,7.558137
Demonte,004079,44.315264,7.297508
Diano d'Alba,004080,44.65031,8.027508
Dogliani,004081,44.530782,7.947233
Dronero,004082,44.465942,7.367256
Elva,004083,44.540329,7.090319
Entracque,004084,44.241425,7.399331
Envie,004085,44.682235,7.371123
Farigliano,004086,44.512031,7.914245
Faule,004087,44.80624,7.585125
Feisoglio,004088,44.543739,8.104941
Fossano,004089,44.549349,7.725016
Frabosa Soprana,004090,44.287769,7.806567
Frabosa Sottana,004091,44.302165,7.798008
Frassino,004092,44.571632,7.276023
Gaiola,004093,44.335245,7.406784
Gambasca,004094,44.628734,7.347323
Garessio,004095,44.202931,8.019253
Genola,004096,44.588936,7.66453
Gorzegno,004097,44.512838,8.135142
Gottasecca,004098,44.460137,8.167544
Govone,004099,44.804445,8.094036
Grinzane Cavour,004100,44.65334,7.995036
Guarene,004101,44.739486,8.034836
Igliano,004102,44.442936,8.013341
Isasca,004103,44.587633,7.381625
Lagnasco,004104,44.624928,7.555576
La Morra,004105,44.63848,7.932582
Lequio Berria,004106,44.60584,8.098139
Lequio Tanaro,004107,44.559937,7.882136
Lesegno,004108,44.402234,7.97084
Levice,004109,44.538239,8.155042
Limone Piemonte,004110,44.202726,7.576336
Lisio,004111,44.307132,7.978742
Macra,004112,44.500248,7.17926
Magliano Alfieri,004113,44.769244,8.070136
Magliano Alpi,004114,44.459634,7.805336
Mango,004115,44.686443,8.150239
Manta,004116,44.615872,7.48702
Marene,004117,44.661972,7.729157
Margarita,004118,44.403432,7.684934
Marmora,004119,44.439247,7.123515
Marsaglia,004120,44.453858,7.981246
Martiniana Po,004121,44.627234,7.362823
Melle,004122,44.562048,7.32049
Moiola,004123,44.321127,7.38973
Mombarcaro,004124,44.467637,8.088242
Mombasiglio,004125,44.366633,7.967941
Monastero di Vasco,004126,44.330752,7.823675
Monasterolo Casotto,004127,44.328232,7.943241
Monasterolo di Savigliano,004128,44.686338,7.619528
Monchiero,004129,44.570538,7.920236
Mondovì,004130,44.390028,7.820472
Monesiglio,004131,44.465037,8.118542
Monforte d'Alba,004132,44.582438,7.969637
Montà,004133,44.813644,7.957233
Montaldo di Mondovì,004134,44.321731,7.86714
Montaldo Roero,004135,44.768719,7.924151
Montanera,004136,44.462233,7.665633
Montelupo Albese,004137,44.62144,8.048038
Montemale di Cuneo,004138,44.43743,7.375327
Monterosso Grana,004139,44.408228,7.322927
Monteu Roero,004140,44.780686,7.931189
Montezemolo,004141,44.377035,8.141144
Monticello d'Alba,004142,44.718182,7.948204
Moretta,004143,44.763839,7.537125
Morozzo,004144,44.423932,7.713335
Murazzano,004145,44.474649,8.021336
Murello,004146,44.752139,7.600926
Narzole,004147,44.595438,7.869835
Neive,004148,44.72605,8.115186
Neviglie,004149,44.691942,8.116838
Niella Belbo,004150,44.512738,8.079341
Niella Tanaro,004151,44.413112,7.922952
Novello,004152,44.587706,7.927116
Nucetto,004153,44.340334,8.060343
Oncino,004154,44.676262,7.190376
Ormea,004155,44.148871,7.912606
Ostana,004156,44.692521,7.188312
Paesana,004157,44.684564,7.273841
Pagno,004158,44.611734,7.425725
Pamparato,004159,44.277029,7.913714
Paroldo,004160,44.432036,8.072442
Perletto,004161,44.599341,8.213042
Perlo,004162,44.32202,8.094944
Peveragno,004163,44.330015,7.617468
Pezzolo Valle Uzzone,004164,44.53874,8.193943
Pianfei,004165,44.372031,7.711435
Piasco,004166,44.568001,7.457775
Pietraporzio,004167,44.343768,7.033462
Piobesi d'Alba,004168,44.735019,7.979668
Piozzo,004169,44.515655,7.892257
Pocapaglia,004170,44.715241,7.882933
Polonghera,004171,44.80234,7.595725
Pontechianale,004172,44.622646,7.02998
Pradleves,004173,44.418346,7.280699
Prazzo,004174,44.482898,7.055396
Priero,004175,44.376035,8.093343
Priocca,004176,44.787185,8.061645
Priola,004177,44.245575,8.022422
Prunetto,004178,44.488441,8.14375
Racconigi,004179,44.769819,7.678887
Revello,004180,44.654948,7.389914
Rifreddo,004181,44.650734,7.346423
Rittana,004182,44.351028,7.398429
Roaschia,004183,44.270105,7.455976
Roascio,004184,44.417138,8.022343
Robilante,004185,44.294182,7.511178
Roburent,004186,44.306331,7.89224
Roccabruna,004187,44.47453,7.343726
Rocca Cigliè,004188,44.445235,7.950939
Rocca de' Baldi,004189,44.423633,7.761136
Roccaforte Mondovì,004190,44.31794,7.744742
Roccasparvera,004191,44.341583,7.440791
Roccavione,004192,44.314628,7.482432
Rocchetta Belbo,004193,44.636042,8.17534
Roddi,004194,44.679641,7.975435
Roddino,004195,44.573849,8.019119
Rodello,004196,44.62854,8.056838
Rossana,004197,44.543333,7.433826
Ruffia,004198,44.706638,7.604027
Sale delle Langhe,004199,44.395235,8.080143
Sale San Giovanni,004200,44.399902,8.078891
Saliceto,004201,44.413336,8.168644
Salmour,004202,44.578037,7.791833
Saluzzo,004203,44.644605,7.492601
Sambuco,004204,44.336292,7.079338
Sampeyre,004205,44.579684,7.188889
San Benedetto Belbo,004206,44.490137,8.057841
San Damiano Macra,004207,44.48873,7.258424
Sanfrè,004208,44.749384,7.803374
Sanfront,004209,44.647034,7.321022
San Michele Mondovì,004210,44.377031,7.911036
Sant'Albano Stura,004211,44.508934,7.722333
Santa Vittoria d'Alba,004212,44.698641,7.937334
Santo Stefano Belbo,004213,44.70774,8.230731
Santo Stefano Roero,004214,44.788443,7.940933
Savigliano,004215,44.644037,7.655929
Scagnello,004216,44.333333,7.986442
Scarnafigi,004217,44.67881,7.56595
Serralunga d'Alba,004218,44.610686,8.000556
Serravalle Langhe,004219,44.559239,8.058639
