pro_com_t,cf
006181,00430330068
006182,00447160060
006183,00397670068
006184,82003100060
006185,00450020060
006186,00465340065
006187,00438970063
006188,00451230064
006189,00411690068
006190,00372410068
006191,02558190068
006192,02558080061
006193,02596250064
007001,80005650074
007002,81004320073
007003,00120680079
007004,00125720078
007005,80003210079
007006,80003230077
007007,00106960073
007008,00099010076
007009,00093700078
007010,80004390078
007011,00101880078
007012,00100690072
007013,00125740076
007014,81002010072
007015,00101150076
007016,81002610079
007017,00125770073
007018,81001550078
007019,00108260076
007020,00105450076
007021,00102860079
007022,00103330072
007023,00106930076
007024,80001710070
007025,00092580075
007026,00101220077
007027,00096180070
007028,00125590075
007029,81001510072
007030,00100080076
007031,00108690074
007032,00109710079
007033,00108510074
007034,00093690071
007035,00103870077
007036,00125600072
007037,00125710079
007038,00101410074
007039,00096590070
007040,00101230076
007041,00095110078
007042,00109080077
007043,00110350071
007044,00116460072
007045,00108130071
007046,00101810075
007047,80004450070
007048,00139720072
007049,00101870079
007050,81001650076
007051,00101160075
007052,00123120073
007053,00102900073
007054,00102200078
007055,00138020078
007056,00138030077
007057,80003070077
007058,00107730079
007059,00101630077
007060,00095320073
007061,80007530076
007062,80007880075
007063,00098460074
007064,80006900072
007065,00124750076
007066,00091850073
007067,81002590073
007068,00101190072
007069,80004730075
007070,00124870072
007071,81002630077
007072,00101620078
007073,81000730077
007074,00097580070
008001,00238700082
008002,00246610083
008003,00246520084
008004,00276040086
008005,00249310087
008006,00250450087
008007,00208720086
008008,00081170086
008009,00246500086
008010,00254630080
008011,00246620082
008012,00249250085
008014,00121350086
008015,00246590087
008016,00247290083
008017,00246280085
008018,00244940086
008019,00245080080
008020,00253650089
008021,00244820080
008022,00089510085
008023,00246210082
008024,80000590085
008025,00272680083
008026,00098480080
008027,00247790082
008028,00263160087
008029,00250170081
008030,00246190086
008031,00089700082
008032,81004430088
008033,00247300080
008034,00246330088
008035,00244230082
008037,00246350086
008038,00238720080
008039,00246880082
008040,00193210085
008041,00246270086
008042,00244500088
008043,81002590081
008044,00250550084
008045,00246160089
008046,00246290084
008047,00247030083
008048,00245030085
008049,00274820083
008050,00248350084
008051,81004410080
008052,00088020086
008053,00251560082
008054,00246170088
008055,00253750087
008056,00247360084
008057,00245920087
008058,00251580080
008059,00089460083
008060,00250570082
008061,81004270088
008062,00153390083
008063,00247350085
008064,00247040082
008065,00247210081
008066,00245010087
008067,00135600088
008068,90093830082
009001,00277920096
009002,00279480099
009003,00333890093
009004,00340950096
009005,00328650098
009006,00135420099
009007,00326540093
009008,00338410095
009009,00339030090
009010,00245250097
009011,81001410091
009012,00229160098
009013,00227410099
009014,00247020092
009015,00334690096
009016,00311510093
009017,00336110093
009018,00224110098
009019,00327960092
009020,00340200096
009021,00379280092
009022,00222000093
009023,00338220098
009024,00314120098
009025,00305870099
009026,00298560095
009027,00296440092
009028,00341140093
009029,00318330099
009030,00327980090
009031,00336100094
009032,92008210095
009033,81001590090
009034,00308950096
009035,00342700093
009036,00253630099
009037,00261180095
009038,00342680097
