pro_com_t,<5,>=5,totale
003093,39,1085,1124
003095,78,2322,2400
003097,42,1171,1213
003098,18,778,796
003100,73,2339,2412
003103,48,1722,1770
003104,29,771,800
003106,3908,98317,102225
003108,604,13544,14148
003109,75,2074,2149
003112,19,1260,1279
003114,72,2075,2147
003115,18,873,891
003116,37,1275,1312
003119,15,794,809
003120,37,1333,1370
003121,76,2055,2131
003122,56,1788,1844
003129,36,905,941
003130,135,3616,3751
003131,271,5324,5595
003133,97,2904,3001
003134,30,715,745
003135,84,1935,2019
003138,12,543,555
003139,46,1336,1382
003140,32,691,723
003141,37,1052,1089
003143,92,2616,2708
003144,20,443,463
003146,24,858,882
003149,950,19445,20395
003153,31,931,962
003154,172,4675,4847
003158,62,1944,2006
003159,23,845,868
003164,16,522,538
003166,159,5072,5231
004001,5,148,153
004002,3,207,210
004003,1151,30099,31250
004004,7,227,234
004005,7,132,139
004006,1,77,78
004007,1,195,196
004008,37,958,995
004009,192,5646,5838
004010,28,1021,1049
004011,29,588,617
004012,287,7210,7497
004013,27,655,682
004014,21,618,639
004015,3,206,209
004016,178,3248,3426
004017,2,95,97
004018,19,319,338
004019,157,3477,3634
004020,22,461,483
004021,0,54,54
004022,211,3996,4207
004023,5,91,96
004024,18,367,385
004025,524,11915,12439
004026,6,168,174
004027,17,625,642
004028,381,9255,9636
004029,1226,28342,29568
004030,9,289,298
004031,1,40,41
004032,3,260,263
004033,32,977,1009
004034,460,9618,10078
004035,10,568,578
004037,230,5282,5512
004038,3,76,79
004039,3,93,96
004040,271,6492,6763
004041,152,2880,3032
004042,43,1095,1138
004043,165,4148,4313
004044,7,164,171
004045,42,1361,1403
004046,76,2130,2206
004047,6,146,152
004049,67,1295,1362
004050,4,305,309
004051,28,877,905
004052,7,279,286
004053,1,58,59
004054,2,98,100
004055,34,667,701
004056,22,810,832
004057,15,448,463
004058,40,628,668
004059,242,5205,5447
004060,4,78,82
004061,292,6585,6877
004062,76,1931,2007
004063,10,400,410
004064,246,4897,5143
004065,99,2143,2242
004066,244,5348,5592
004067,438,8963,9401
004068,116,3461,3577
004069,7,178,185
004070,3,79,82
004071,28,784,812
004072,73,2047,2120
004073,78,2166,2244
004074,34,894,928
004075,146,3187,3333
004076,20,354,374
004077,6,148,154
004078,2044,53778,55822
004079,60,1835,1895
004080,164,3440,3604
004081,172,4400,4572
004082,286,6695,6981
004083,3,84,87
004084,20,757,777
004085,63,1883,1946
004086,60,1634,1694
004087,15,452,467
004088,10,287,297
004089,999,23334,24333
004090,14,729,743
004091,50,1538,1588
004092,9,255,264
004093,13,553,566
004094,15,326,341
004095,60,2842,2902
004096,116,2489,2605
004097,7,250,257
004098,1,123,124
004099,90,2170,2260
004100,97,1898,1995
004101,135,3381,3516
004102,1,63,64
004103,5,70,75
004104,42,1418,1460
004105,92,2625,2717
004106,19,433,452
004107,30,716,746
004108,22,794,816
004109,3,198,201
004110,36,1404,1440
004111,6,183,189
004112,2,44,46
004113,116,2078,2194
004114,88,2082,2170
004115,40,1219,1259
004116,160,3622,3782
004117,151,3120,3271
004118,61,1365,1426
004119,0,53,53
004120,8,205,213
004121,18,712,730
004122,14,278,292
004123,5,214,219
004124,8,255,263
004125,25,591,616
004126,55,1211,1266
004127,4,77,81
004128,64,1308,1372
004129,30,547,577
004130,941,21292,22233
004131,13,579,592
004132,70,1893,1963
004133,196,4462,4658
004134,13,527,540
004135,31,817,848
004136,32,694,726
004137,15,469,484
004138,6,208,214
004139,19,498,517
004140,63,1546,1609
004141,7,230,237
004142,122,2221,2343
004143,149,3927,4076
004144,90,1900,1990
004145,34,804,838
004146,50,892,942
004147,160,3309,3469
004148,138,3212,3350
004149,6,347,353
004150,10,346,356
004151,49,925,974
004152,38,935,973
004153,14,388,402
004154,0,85,85
004155,27,1464,1491
004156,5,79,84
004157,69,2560,2629
004158,14,557,571
004159,2,276,278
004160,7,191,198
004161,5,259,264
004162,3,105,108
004163,227,5315,5542
004164,5,313,318
004165,91,2011,2102
